Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison
ENSG00000229152.2,93.73086496217897,-0.3712664999161138,0.21001606289199803,0.06971464673345953,0.09944408765304502,HuT78_vs_HH
ENSG00000262902.1,85.5595370936597,-0.6678086653184064,0.40282318434481357,0.06971910359599472,0.09944408765304502,HuT78_vs_HH
ENSG00000175029.19,238.95021023664893,1.2212378722346846,1.1355615005594746,0.06974738370075327,0.09947650497563847,HuT78_vs_HH
ENSG00000163510.16,968.7424160939707,-0.16628258625668665,0.09213671756472033,0.06979344485484566,0.09953427516116542,HuT78_vs_HH
ENSG00000288818.2,14.9063728443332,-0.8066274275033349,0.5094804944035475,0.06982682066051599,0.0995739466793874,HuT78_vs_HH
ENSG00000183963.21,1059.2304544497645,0.18184419738952223,0.10078456188052073,0.06988642768083408,0.09965101495559875,HuT78_vs_HH
ENSG00000144648.18,6.387198043548188,-1.0329564206547577,0.7481534983304593,0.07026556440395475,0.1001836519137962,HuT78_vs_HH
ENSG00000167461.14,3953.7476234452142,-0.09878519652051719,0.05485224541914171,0.07044836055542202,0.10043628675396987,HuT78_vs_HH
ENSG00000223803.1,43.819924278004805,-0.6841620577078001,0.41633842831473933,0.07048747664658084,0.10048405698444304,HuT78_vs_HH
ENSG00000116489.15,9485.03616256731,0.10198395645450394,0.056417487096429075,0.07050599853254325,0.10050246369434375,HuT78_vs_HH
ENSG00000154813.12,915.5940085758015,-0.2087459682062761,0.11626569385305509,0.07052397015634755,0.10052008316898452,HuT78_vs_HH
ENSG00000250565.9,295.9733968136379,0.29019772722157955,0.16272218811395917,0.07074202806740668,0.10082286657339623,HuT78_vs_HH
ENSG00000269688.1,15.265501269933448,-0.8404868101152536,0.5469888554535933,0.07077449478044963,0.10086111478734827,HuT78_vs_HH
ENSG00000118046.20,3120.129280056983,0.16122018025763954,0.08949734555275399,0.07084515894963625,0.1009537879878089,HuT78_vs_HH
ENSG00000294247.1,27.012839899696782,0.6412483593572099,0.3836782195102476,0.07091690802490745,0.10104011313621991,HuT78_vs_HH
ENSG00000071205.14,2352.076291541424,-0.1873329582478162,0.10444995833417564,0.0709170182849472,0.10104011313621991,HuT78_vs_HH
ENSG00000052749.16,2629.0103305408306,0.1943592640703703,0.10749058499330442,0.07094312061217097,0.10106926487213065,HuT78_vs_HH
ENSG00000156508.22,247909.85000938634,-0.1568240280155692,0.08725150081653942,0.0709670850138516,0.10109536641405466,HuT78_vs_HH
ENSG00000170011.16,83.0959114935369,-1.2039705543588712,1.6202981525128637,0.07098658574182537,0.10111510563447575,HuT78_vs_HH
ENSG00000169957.11,926.1653589339884,0.18403673458989983,0.10266434351603494,0.07104573575955163,0.10119131468694288,HuT78_vs_HH
ENSG00000227857.3,10.844693832247263,-1.04061538020278,0.7690129377857444,0.07106660375104083,0.10121299039668467,HuT78_vs_HH
ENSG00000143341.13,10.603678260642344,1.296733507853358,1.0611335395569335,0.07114459296044665,0.1013160081785693,HuT78_vs_HH
ENSG00000075945.14,1178.0164870252029,-0.1653740812157369,0.09243169597584248,0.07116612500320807,0.10133861612212643,HuT78_vs_HH
ENSG00000288803.1,5.807182603423528,-1.2030002203293426,1.6116401971619416,0.07129051403186004,0.1015076743666168,HuT78_vs_HH
ENSG00000258702.6,7.614330338355031,1.1733974770643951,1.0093833094390576,0.07157790438933671,0.10190877828299827,HuT78_vs_HH
ENSG00000213888.4,74.87856071954728,-0.488914876796244,0.28282141373245023,0.07164391824500388,0.10199465951678675,HuT78_vs_HH
ENSG00000166887.18,1217.3609941254865,0.17768456672889518,0.09958336285517326,0.07186376752091916,0.1022995149095961,HuT78_vs_HH
ENSG00000308075.1,8.022490396346514,-1.2091668128891766,1.32981448673797,0.07202964388394616,0.10252749643897151,HuT78_vs_HH
ENSG00000270964.1,14.666272812505287,0.9619219735938818,0.664784764751891,0.07208767262804286,0.10260194288801047,HuT78_vs_HH
ENSG00000117245.15,10.404999165464378,1.1734408966616376,1.2269067237305058,0.072165798542347,0.10270497941580446,HuT78_vs_HH
ENSG00000002919.17,1161.9643617679196,0.1921383554562367,0.10744293150424633,0.0722542851162596,0.10282274349493929,HuT78_vs_HH
ENSG00000233830.2,36.436914386826125,0.5469298145713806,0.3211751830553046,0.07228167161401101,0.10285354622438501,HuT78_vs_HH
ENSG00000160563.16,1120.808119075817,0.15489611576630785,0.08608537732062896,0.07233192945516331,0.10291688636242163,HuT78_vs_HH
ENSG00000226284.1,12.44693492461542,0.8385348643477286,0.5445517054885531,0.0723465292283449,0.10292948468279851,HuT78_vs_HH
ENSG00000297942.1,41.048115434696655,-1.170677507621534,1.3872152107117786,0.07238834832623008,0.10298080364205604,HuT78_vs_HH
ENSG00000235013.1,96.66594175662901,-1.2868093975873993,0.9837998790556601,0.07244002019736881,0.10304613004890124,HuT78_vs_HH
ENSG00000253434.9,8.69755419487221,-0.1821235653645081,1.0443518467823685,0.07247617581512027,0.10308937592122902,HuT78_vs_HH
ENSG00000142102.18,307.41018702889636,0.4937624514444274,0.28711584823947456,0.07268729949098189,0.10338146795656879,HuT78_vs_HH
ENSG00000157303.13,127.52220788393012,1.1752762330121966,1.138705766738651,0.07284563460714243,0.10359021622376223,HuT78_vs_HH
ENSG00000227376.1,10.803286268260964,-1.0298410393603321,0.7634114620308178,0.07284470242285547,0.10359021622376223,HuT78_vs_HH
