Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000078596.13,6055.206038571286,15.58875015266359,1.2897671625481772,6.837332223656887e-41,8.863484441949521e-40,HuT78_vs_HH,ENSG00000078596,ITM2A,protein_coding,Up
ENSG00000060558.5,2361.998228985862,15.582514150522572,3.1902588240240743,3.474118013760285e-16,1.6069926211338886e-15,HuT78_vs_HH,ENSG00000060558,GNA15,protein_coding,Up
ENSG00000170627.13,2252.8744741053592,15.50796967842133,2.722495167217108,6.094221436251083e-35,6.537603414996297e-34,HuT78_vs_HH,ENSG00000170627,GTSF1,protein_coding,Up
ENSG00000250366.6,735.7860585399299,15.476289328970056,3.3296356558840823,3.693913894725797e-32,3.5713150255808234e-31,HuT78_vs_HH,ENSG00000250366,TUNAR,protein_coding,Up
ENSG00000074696.15,3101.7520106638076,15.424143350474028,2.696509569943634,1.1036922280720981e-34,1.1651529915092303e-33,HuT78_vs_HH,ENSG00000074696,HACD3,protein_coding,Up
ENSG00000227507.4,1175.5052788241992,15.409346007166173,2.923990702888116,3.042279358502555e-33,3.063655689014799e-32,HuT78_vs_HH,ENSG00000227507,LTB,protein_coding,Up
ENSG00000089327.18,2321.652609931297,15.392916299123875,2.727893621758553,2.844390949024502e-34,2.9626316192891832e-33,HuT78_vs_HH,ENSG00000089327,FXYD5,protein_coding,Up
ENSG00000153094.27,820.5842826712874,15.36122549623128,3.1137152965276056,1.8545995508707566e-32,1.815582019336044e-31,HuT78_vs_HH,ENSG00000153094,BCL2L11,protein_coding,Up
ENSG00000276405.1,610.8238783816926,15.344918943009183,3.5173622140384713,1.4050622009027643e-30,1.2758078727406497e-29,HuT78_vs_HH,ENSG00000276405,TRBV13,TR_V_gene,Up
ENSG00000187855.6,588.0434052264236,15.286072123201597,3.5092166216108813,1.284153976505081e-30,1.168984679323604e-29,HuT78_vs_HH,ENSG00000187855,ASCL4,protein_coding,Up
ENSG00000145703.18,1179.5195473674003,15.202644252787758,2.7698938098276686,8.215608512050458e-33,8.145137049993578e-32,HuT78_vs_HH,ENSG00000145703,IQGAP2,protein_coding,Up
ENSG00000148175.15,1267.2004975007594,15.133441827595883,2.7542572141589883,7.382927121708065e-33,7.343983308461964e-32,HuT78_vs_HH,ENSG00000148175,STOM,protein_coding,Up
ENSG00000137486.19,902.1947021838668,15.12467013837472,2.8170658411745997,3.527626601011627e-32,3.412388259023936e-31,HuT78_vs_HH,ENSG00000137486,ARRB1,protein_coding,Up
ENSG00000172716.19,1629.570877917838,15.078998675263446,2.8734726999432145,2.9012204964907813e-32,2.8170929644787177e-31,HuT78_vs_HH,ENSG00000172716,SLFN11,protein_coding,Up
ENSG00000184719.14,738.1844592941036,15.00554081689086,2.8868497039737755,8.505901649680296e-32,8.118445820672483e-31,HuT78_vs_HH,ENSG00000184719,RNLS,protein_coding,Up
ENSG00000265972.8,1063.4163714102722,14.926947860819284,2.7542913508940283,1.1902322817100072e-31,1.1311942348453463e-30,HuT78_vs_HH,ENSG00000265972,TXNIP,protein_coding,Up
ENSG00000159228.14,1623.6721155811194,14.827461707314903,2.6448191450341976,2.8201041859192866e-32,2.7413004064429742e-31,HuT78_vs_HH,ENSG00000159228,CBR1,protein_coding,Up
ENSG00000211751.9,2779.5838264942827,14.803600217182645,1.349239812918224,2.3825689201967303e-36,2.669401013466193e-35,HuT78_vs_HH,ENSG00000211751,TRBC1,TR_C_gene,Up
ENSG00000015475.21,1148.8353988798588,14.768354757591318,2.7301474553714105,1.5042624712263938e-31,1.4213534900854877e-30,HuT78_vs_HH,ENSG00000015475,BID,protein_coding,Up
ENSG00000136231.16,758.526176677853,14.754119243594221,2.856372268285444,8.81975794876703e-31,8.07801450164424e-30,HuT78_vs_HH,ENSG00000136231,IGF2BP3,protein_coding,Up
ENSG00000173762.10,467.93171667490606,14.74240113361362,3.255627662837916,5.123575869459597e-29,4.370898176255652e-28,HuT78_vs_HH,ENSG00000173762,CD7,protein_coding,Up
ENSG00000159217.12,858.3152949311501,14.718964040474406,3.033515315608505,5.358328808459497e-30,4.766358520533857e-29,HuT78_vs_HH,ENSG00000159217,IGF2BP1,protein_coding,Up
ENSG00000169442.10,636.3041547715887,14.692922707207984,3.4155211168077373,1.8677870241120962e-13,7.39805539176834e-13,HuT78_vs_HH,ENSG00000169442,CD52,protein_coding,Up
ENSG00000168421.15,1093.7050662471306,14.60842809597686,2.722410011626569,6.5136058203337144e-31,5.987236955940405e-30,HuT78_vs_HH,ENSG00000168421,RHOH,protein_coding,Up
ENSG00000185340.18,1732.7098482900758,14.470809129695171,2.7115183434853307,1.90279641245252e-30,1.7181752887644604e-29,HuT78_vs_HH,ENSG00000185340,GAS2L1,protein_coding,Up
ENSG00000154127.11,600.6745076617441,14.452546372688378,2.7757646418455666,8.346567822667847e-30,7.347850739218401e-29,HuT78_vs_HH,ENSG00000154127,UBASH3B,protein_coding,Up
ENSG00000073849.18,551.0790128145966,14.44192127678798,3.026285773981675,6.101337644893685e-29,5.190192968104006e-28,HuT78_vs_HH,ENSG00000073849,ST6GAL1,protein_coding,Up
ENSG00000100336.19,417.64034685464367,14.318215572846468,3.098894178141725,1.5956215807648196e-25,1.1763605193169442e-24,HuT78_vs_HH,ENSG00000100336,APOL4,protein_coding,Up
