Ensembl,D1,D2,D3,D4
ENSG00000039560,6,27,66,20
ENSG00000039600,0,0,3,2
ENSG00000039650,886,674,1134,1085
ENSG00000039987,0,0,0,0
ENSG00000040199,1439,1252,2020,2057
ENSG00000040275,250,255,366,470
ENSG00000040341,2486,2031,3013,2757
ENSG00000040487,78,75,160,112
ENSG00000040531,126,103,293,204
ENSG00000040608,13,12,26,27
ENSG00000040633,584,500,734,667
ENSG00000040731,0,0,0,0
ENSG00000040933,7749,6854,9631,11444
ENSG00000041353,562,452,917,417
ENSG00000041357,4401,3108,5985,4886
ENSG00000041515,175,103,125,280
ENSG00000041802,2899,2133,4110,3893
ENSG00000041880,439,331,639,516
ENSG00000041982,3,0,0,0
ENSG00000041988,490,309,575,622
ENSG00000042062,0,0,0,0
ENSG00000042088,2094,2018,3021,2738
ENSG00000042286,162,135,194,214
ENSG00000042304,0,0,0,0
ENSG00000042317,275,291,601,470
ENSG00000042429,1653,1779,2654,2614
ENSG00000042445,686,659,1145,1018
ENSG00000042493,595,549,1169,780
ENSG00000042753,602,492,1177,786
ENSG00000042781,0,3,0,0
ENSG00000042813,4,2,3,7
ENSG00000042832,92,69,106,126
ENSG00000042980,83,44,158,79
ENSG00000043039,0,0,0,0
ENSG00000043093,2983,3571,5216,3222
ENSG00000043143,7044,5827,10566,9636
ENSG00000043355,0,0,0,0
ENSG00000043462,4380,4263,5338,6714
ENSG00000043514,396,439,879,894
ENSG00000043591,37,5,13,13
ENSG00000044012,0,0,0,0
ENSG00000044090,429,334,667,620
ENSG00000044115,1048,854,2094,1306
ENSG00000044446,1324,1331,2227,2566
ENSG00000044459,90,17,49,42
ENSG00000044524,0,1,2,3
ENSG00000044574,17641,12220,12612,13671
ENSG00000046604,7,55,1,11
ENSG00000046647,357,225,416,523
ENSG00000046651,5464,4002,8588,7766
ENSG00000046653,2,3,2,2
ENSG00000046774,0,0,0,0
ENSG00000046889,0,0,0,0
ENSG00000047056,1829,1225,2456,2501
ENSG00000047188,2952,3613,5729,6109
ENSG00000047230,345,648,574,680
ENSG00000047249,1546,1066,2135,1889
ENSG00000047315,5912,6024,11762,10183
ENSG00000047346,5106,4992,5550,5692
ENSG00000047365,22562,19840,36007,24440
ENSG00000047410,14437,17917,26173,27674
ENSG00000047457,0,1,0,0
ENSG00000047578,883,597,1157,1050
ENSG00000047579,511,264,391,472
ENSG00000047597,8,8,13,8
ENSG00000047617,0,0,0,0
ENSG00000047621,840,851,1274,1057
ENSG00000047634,648,826,721,1122
ENSG00000047644,1807,1434,1692,2436
ENSG00000047648,0,0,0,0
ENSG00000047662,0,0,3,0
ENSG00000047849,3463,2259,3220,3755
ENSG00000047932,1570,2072,2642,2600
ENSG00000047936,0,0,0,0
ENSG00000048028,1819,1102,2806,1970
ENSG00000048052,318,220,488,271
ENSG00000048140,1186,743,1723,1423
ENSG00000048162,373,312,544,590
ENSG00000048342,4,6,22,5
ENSG00000048392,809,749,1519,1091
ENSG00000048405,6376,7157,10648,8277
ENSG00000048462,2,0,0,8
ENSG00000048471,2331,2062,2775,3842
ENSG00000048540,0,0,0,0
ENSG00000048544,1012,977,2291,1618
ENSG00000048545,0,0,0,0
ENSG00000048649,9215,8312,12002,11541
ENSG00000048707,11362,11081,15662,18518
ENSG00000048740,10975,10607,13983,15590
ENSG00000048828,6102,5296,7662,8707
ENSG00000048991,2508,1910,2043,2566
ENSG00000049089,79,229,161,142
ENSG00000049130,0,0,0,0
ENSG00000049167,554,617,1029,933
ENSG00000049192,370,500,603,376
ENSG00000049239,2889,2116,2990,4330
ENSG00000049245,3229,2590,3857,3119
ENSG00000049246,499,434,354,529
ENSG00000049247,86,90,252,96
ENSG00000049249,650,248,752,231
ENSG00000049283,0,0,0,1
ENSG00000049323,28,4,16,10
ENSG00000049449,229,357,470,515
ENSG00000049540,0,0,0,0
ENSG00000049541,451,390,675,642
ENSG00000049618,7005,6275,8124,10152
ENSG00000049656,307,264,575,480
ENSG00000049759,294,280,303,251
ENSG00000049768,269,107,112,147
ENSG00000049769,344,347,672,698
ENSG00000049860,1897,1578,3077,2172
ENSG00000049883,356,387,636,765
ENSG00000050030,191,362,327,499
ENSG00000050130,810,839,1678,1190
ENSG00000050165,95,130,100,160
ENSG00000050327,126,60,159,249
ENSG00000050344,314,447,527,438
ENSG00000050393,483,526,946,700
ENSG00000050405,1096,1088,1797,1429
ENSG00000050426,2616,2501,4459,3824
ENSG00000050438,153,111,271,246
ENSG00000050555,35,44,50,93
ENSG00000050628,7,11,9,8
ENSG00000050730,179,166,114,126
ENSG00000050748,1816,1755,3070,2510
ENSG00000050767,0,2,11,2
ENSG00000050820,0,8,4,12
ENSG00000051009,1048,624,1349,1229
ENSG00000051108,5175,4482,5870,5593
ENSG00000051128,6,5,30,5
ENSG00000051180,22,9,38,21
ENSG00000051341,97,98,150,156
ENSG00000051382,2019,1999,2117,2818
ENSG00000051523,4535,3545,8136,4567
ENSG00000051596,533,485,619,915
ENSG00000051620,4155,4079,7159,5882
ENSG00000051825,5181,5824,8294,8255
ENSG00000052126,763,656,1948,885
ENSG00000052344,0,0,0,0
ENSG00000052723,2671,3209,4209,3422
ENSG00000052749,866,1245,1619,1267
ENSG00000052795,917,960,1977,1552
ENSG00000052802,843,820,1247,886
ENSG00000052841,4589,5899,9232,9211
ENSG00000052850,0,0,0,2
ENSG00000053108,19,0,33,16
ENSG00000053254,11569,7391,11920,12482
ENSG00000053328,2,7,21,7
ENSG00000053371,714,508,1270,1022
ENSG00000053372,408,322,716,696
ENSG00000053438,0,0,0,1
ENSG00000053501,457,446,541,499
ENSG00000053524,540,314,862,292
ENSG00000053702,0,0,4,0
ENSG00000053747,3,3,4,11
ENSG00000053770,2986,4284,6538,5420
ENSG00000053900,1837,2174,3113,2938
ENSG00000053918,392,208,469,549
ENSG00000054116,1396,1464,2966,2028
ENSG00000054118,7272,5840,9568,8549
ENSG00000054148,699,386,628,538
ENSG00000054179,0,0,0,0
ENSG00000054219,905,1515,1525,1625
ENSG00000054267,10153,9971,14047,12193
ENSG00000054277,128,94,332,219
ENSG00000054282,80,108,270,318
ENSG00000054356,0,0,4,0
ENSG00000054392,251,292,616,428
ENSG00000054523,1464,1186,2542,2186
ENSG00000054598,0,0,1,0
ENSG00000054611,1330,1013,1677,1854
ENSG00000054654,76437,64492,107492,95966
ENSG00000054690,4,5,8,2
ENSG00000054793,273,127,358,208
ENSG00000054796,0,0,0,0
ENSG00000054803,0,0,0,0
ENSG00000054938,0,0,0,0
ENSG00000054965,2516,1912,2903,2957
ENSG00000054967,1273,1400,2365,1890
ENSG00000054983,1632,1279,2452,1977
ENSG00000055044,7127,7900,11767,9401
ENSG00000055070,6162,3485,5661,5433
ENSG00000055118,43,89,94,82
ENSG00000055130,4470,4059,6553,6291
ENSG00000055147,1116,1535,1754,1571
ENSG00000055163,18994,16574,25665,29158
