"Geneid","HH-1","HH-2","HH-3","M-1","M-2","M-3","78-1","78-2","78-3","S-1","S-2","S-3"
"ENSG00000283356.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000289893.2",10,15,0,0,0,7,0,0,0,0,0,0
"ENSG00000264341.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000295108.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000295122.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000298180.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264101.1",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000131697.20",486,581,123,142,107,548,865,910,917,1148,1162,995
"ENSG00000299539.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000069424.17",13077,15958,5045,5222,5093,12876,9655,9525,3608,4160,3996,10685
"ENSG00000116254.19",16,10,12,1,14,17,46,80,21,14,14,96
"ENSG00000285629.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116251.13",4941,6156,1355,1347,1122,4953,3391,2948,1722,1838,1608,3392
"ENSG00000226944.2",0,0,14,13,9,3,11,3,6,7,2,5
"ENSG00000158286.15",7,9,331,250,233,6,33,19,303,322,266,38
"ENSG00000116237.18",6318,7848,2646,2335,2213,6346,4536,5384,2159,2945,3143,5848
"ENSG00000225077.4",13,8,154,123,91,18,53,39,20,31,24,66
"ENSG00000173673.10",0,0,2,1,0,0,0,0,0,0,0,2
"ENSG00000158292.9",1309,1608,561,510,537,1084,111,111,52,99,51,130
"ENSG00000097021.23",9179,8822,7762,6877,7550,8668,5773,6442,2514,3088,2965,6541
"ENSG00000271746.1",4,8,9,3,2,4,6,1,4,0,3,4
"ENSG00000069812.13",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187017.19",2,3,4,2,0,4,71,22,9,4,0,43
"ENSG00000265392.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231868.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215788.13",2778,3297,3465,2770,3740,2747,7,6,7,0,0,3
"ENSG00000171680.25",5,5,93,106,107,2,2,2,2,1,2,1
"ENSG00000297749.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000299237.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000299253.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162408.13",1719,2032,1184,1139,1319,1624,1045,1121,898,1069,1145,1251
"ENSG00000253022.1",0,0,0,0,0,0,0,0,0,0,0,0
