Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000144908.16,171.34551137680398,-13.301506949714588,3.3076125262741325,3.7752776648168215e-23,1.8435066993464831e-22,HuT78_vs_HH,ENSG00000144908,ALDH1L1,protein_coding,Down
ENSG00000197565.19,228.14872600178535,-13.289307296401164,3.3018630698165334,1.9058430794598986e-23,9.44802314743281e-23,HuT78_vs_HH,ENSG00000197565,COL4A6,protein_coding,Down
ENSG00000147862.20,309.2775158030935,-13.255366204898799,3.297866275244553,2.3054808021429484e-23,1.138587771668399e-22,HuT78_vs_HH,ENSG00000147862,NFIB,protein_coding,Down
ENSG00000114455.17,1721.5290061882479,-13.216274507610132,1.336417018792435,3.443797178565282e-29,2.1516303273365926e-28,HuT78_vs_HH,ENSG00000114455,HHLA2,protein_coding,Down
ENSG00000156463.20,1617.1402852810218,-13.177711418065249,1.3224379740318484,1.0696296797861464e-29,6.810202059918342e-29,HuT78_vs_HH,ENSG00000156463,SH3RF2,protein_coding,Down
ENSG00000182985.21,5512.763129857182,-13.1532390486056,0.810195947335174,1.2323660873624159e-56,1.6871247076254587e-55,HuT78_vs_HH,ENSG00000182985,CADM1,protein_coding,Down
ENSG00000181656.8,148.83293932408895,-13.073356744133953,3.2799205606612567,1.1600714060919605e-22,5.546298839177007e-22,HuT78_vs_HH,ENSG00000181656,GPR88,protein_coding,Down
ENSG00000104447.15,252.98952370339813,-12.983045835941864,3.2659663679545465,1.1060768885155718e-22,5.292033806176008e-22,HuT78_vs_HH,ENSG00000104447,TRPS1,protein_coding,Down
ENSG00000173040.15,167.03427205643163,-12.978383401886497,3.2710749215946753,2.7290355570524884e-22,1.2854181573930279e-21,HuT78_vs_HH,ENSG00000173040,EVC2,protein_coding,Down
ENSG00000188580.17,166.56383769072116,-12.953081814212204,3.262250925097686,1.2597650312771417e-22,6.0097063150201265e-22,HuT78_vs_HH,ENSG00000188580,NKAIN2,protein_coding,Down
ENSG00000164023.17,231.91693646327923,-12.834714907607987,3.2497608361123107,3.2024483790398303e-22,1.5013492706484213e-21,HuT78_vs_HH,ENSG00000164023,SGMS2,protein_coding,Down
