Geneid,module,Ensembl,gene_symbol,gene_type
ENSG00000168243.13,Module 2,ENSG00000168243,GNG4,protein_coding
ENSG00000169508.9,Module 1,ENSG00000169508,GPR183,protein_coding
ENSG00000054523.22,Module 3,ENSG00000054523,KIF1B,protein_coding
ENSG00000173757.13,Module 1,ENSG00000173757,STAT5B,protein_coding
ENSG00000170633.19,Module 1,ENSG00000170633,RNF34,protein_coding
ENSG00000049089.17,Module 2,ENSG00000049089,COL9A2,protein_coding
ENSG00000176788.11,Module 2,ENSG00000176788,BASP1,protein_coding
ENSG00000163214.23,Module 3,ENSG00000163214,DHX57,protein_coding
ENSG00000165156.17,Module 3,ENSG00000165156,ZHX1,protein_coding
ENSG00000165030.7,Module 2,ENSG00000165030,NFIL3,protein_coding
ENSG00000147570.12,Module 1,ENSG00000147570,DNAJC5B,protein_coding
ENSG00000171840.15,Module 6,ENSG00000171840,NINJ2,protein_coding
ENSG00000123411.17,Module 1,ENSG00000123411,IKZF4,protein_coding
ENSG00000169750.11,Module 3,ENSG00000169750,RAC3,protein_coding
ENSG00000218891.7,Module 2,ENSG00000218891,ZNF579,protein_coding
ENSG00000116096.9,Module 1,ENSG00000116096,SPR,protein_coding
ENSG00000232119.10,Module 3,ENSG00000232119,MCTS1,protein_coding
ENSG00000127603.33,Module 5,ENSG00000127603,MACF1,protein_coding
ENSG00000221926.15,Module 1,ENSG00000221926,TRIM16,protein_coding
ENSG00000168785.10,Module 3,ENSG00000168785,TSPAN5,protein_coding
ENSG00000114480.15,Module 1,ENSG00000114480,GBE1,protein_coding
ENSG00000136040.10,Module 3,ENSG00000136040,PLXNC1,protein_coding
ENSG00000115318.14,Module 3,ENSG00000115318,LOXL3,protein_coding
ENSG00000162733.21,Module 2,ENSG00000162733,DDR2,protein_coding
ENSG00000004866.24,Module 3,ENSG00000004866,ST7,protein_coding
ENSG00000104880.20,Module 3,ENSG00000104880,ARHGEF18,protein_coding
ENSG00000115738.12,Module 1,ENSG00000115738,ID2,protein_coding
ENSG00000104043.17,Module 1,ENSG00000104043,ATP8B4,protein_coding
ENSG00000135052.18,Module 3,ENSG00000135052,GOLM1,protein_coding
ENSG00000171552.16,Module 5,ENSG00000171552,BCL2L1,protein_coding
ENSG00000136842.16,Module 2,ENSG00000136842,TMOD1,protein_coding
ENSG00000177694.17,Module 1,ENSG00000177694,NAALADL2,protein_coding
ENSG00000141012.15,Module 3,ENSG00000141012,GALNS,protein_coding
